Step 0:    (2022-05-08 19:08:00.686273)
    training adv accuracy 82.0%
    54.85424094929107 examples per second
Step 39600:    (2022-05-09 08:26:32.031450)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.297632946484946 examples per second
Step 39700:    (2022-05-09 08:27:55.743934)
    training nat accuracy 96.0%
    training adv accuracy 84.0%
    59.816738961548154 examples per second
Step 39800:    (2022-05-09 08:29:26.632180)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    55.029399823026196 examples per second
Step 39900:    (2022-05-09 08:30:58.734394)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.30715649755578 examples per second
Step 40000:    (2022-05-09 08:32:24.022372)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    58.70960264886536 examples per second
Step 40100:    (2022-05-09 08:33:55.502193)
    training nat accuracy 96.0%
    training adv accuracy 76.0%
    54.67498491952223 examples per second
Step 40200:    (2022-05-09 08:35:27.563486)
    training nat accuracy 96.0%
    training adv accuracy 86.0%
    54.33102814534183 examples per second
Step 40300:    (2022-05-09 08:36:49.153185)
    training nat accuracy 94.0%
    training adv accuracy 80.0%
    61.3774397418085 examples per second
Step 40400:    (2022-05-09 08:38:20.244301)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.9093894774613 examples per second
Step 40500:    (2022-05-09 08:39:52.350052)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.30411012566275 examples per second
Step 40600:    (2022-05-09 08:41:15.481021)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    60.237986782175305 examples per second
Step 40700:    (2022-05-09 08:42:46.742221)
    training nat accuracy 94.0%
    training adv accuracy 78.0%
    54.84294789005949 examples per second
Step 40800:    (2022-05-09 08:44:18.933548)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.25396475745054 examples per second
Step 40900:    (2022-05-09 08:45:40.092555)
    training nat accuracy 100.0%
    training adv accuracy 82.0%
    61.704995288153974 examples per second
Step 41000:    (2022-05-09 08:47:10.343625)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    55.42055971806733 examples per second
Step 41100:    (2022-05-09 08:48:42.719177)
    training nat accuracy 98.0%
    training adv accuracy 84.0%
    54.145929372516434 examples per second
Step 41200:    (2022-05-09 08:50:02.632365)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    62.66873986943924 examples per second
Step 41300:    (2022-05-09 08:51:33.781648)
    training nat accuracy 96.0%
    training adv accuracy 84.0%
    54.87267285700032 examples per second
Step 41400:    (2022-05-09 08:53:06.103340)
    training nat accuracy 96.0%
    training adv accuracy 92.0%
    54.17709079721318 examples per second
Step 41500:    (2022-05-09 08:54:28.961067)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    60.43785295551799 examples per second
Step 41600:    (2022-05-09 08:55:59.729114)
    training nat accuracy 94.0%
    training adv accuracy 92.0%
    55.10424503755779 examples per second
Step 41700:    (2022-05-09 08:57:32.067281)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.167935291357416 examples per second
Step 41800:    (2022-05-09 08:58:55.427532)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    60.131590042796034 examples per second
Step 41900:    (2022-05-09 09:00:26.317169)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    55.03038544562856 examples per second
Step 42000:    (2022-05-09 09:01:58.480208)
    training nat accuracy 100.0%
    training adv accuracy 84.0%
    54.27061051637414 examples per second
Step 42100:    (2022-05-09 09:03:22.694379)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    59.46211182983427 examples per second
Step 42200:    (2022-05-09 09:04:53.781152)
    training nat accuracy 100.0%
    training adv accuracy 82.0%
    54.91097650293816 examples per second
Step 42300:    (2022-05-09 09:06:26.260962)
    training nat accuracy 96.0%
    training adv accuracy 92.0%
    54.085023010762946 examples per second
Step 42400:    (2022-05-09 09:07:48.995382)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    60.53054396437569 examples per second
Step 42500:    (2022-05-09 09:09:19.446561)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    55.298559269169594 examples per second
Step 42600:    (2022-05-09 09:10:51.794090)
    training nat accuracy 100.0%
    training adv accuracy 82.0%
    54.16231540999826 examples per second
Step 42700:    (2022-05-09 09:12:14.049801)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    60.88450803668229 examples per second
Step 42800:    (2022-05-09 09:13:44.453501)
    training nat accuracy 94.0%
    training adv accuracy 90.0%
    55.3258640717089 examples per second
Step 42900:    (2022-05-09 09:15:16.918662)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    54.13132359750592 examples per second
Step 43000:    (2022-05-09 09:16:40.146788)
    training nat accuracy 98.0%
    training adv accuracy 82.0%
    60.1636285947479 examples per second
Step 43100:    (2022-05-09 09:18:11.517835)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.74074011590087 examples per second
Step 43200:    (2022-05-09 09:19:43.605595)
    training nat accuracy 100.0%
    training adv accuracy 84.0%
    54.31460969200119 examples per second
Step 43300:    (2022-05-09 09:21:07.920699)
    training nat accuracy 96.0%
    training adv accuracy 84.0%
    59.37689611169694 examples per second
Step 43400:    (2022-05-09 09:22:39.771571)
    training nat accuracy 98.0%
    training adv accuracy 80.0%
    54.45458725205368 examples per second
Step 43500:    (2022-05-09 09:24:12.435867)
    training nat accuracy 94.0%
    training adv accuracy 84.0%
    53.97693337758103 examples per second
Step 43600:    (2022-05-09 09:25:35.312704)
    training nat accuracy 96.0%
    training adv accuracy 82.0%
    60.41544802355696 examples per second
Step 43700:    (2022-05-09 09:27:06.476131)
    training nat accuracy 96.0%
    training adv accuracy 90.0%
    54.86470928030861 examples per second
Step 43800:    (2022-05-09 09:28:38.753906)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.20345255087403 examples per second
Step 43900:    (2022-05-09 09:30:02.506488)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    59.79216194547708 examples per second
Step 44000:    (2022-05-09 09:31:34.267497)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    54.548889768045505 examples per second
Step 44100:    (2022-05-09 09:33:06.740083)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    54.08859985325474 examples per second
Step 44200:    (2022-05-09 09:34:30.610579)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    59.70803995016479 examples per second
Step 44300:    (2022-05-09 09:36:02.479753)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    54.44401384952077 examples per second
Step 44400:    (2022-05-09 09:37:35.077526)
    training nat accuracy 100.0%
    training adv accuracy 84.0%
    54.015792916809794 examples per second
Step 44500:    (2022-05-09 09:38:58.648536)
    training nat accuracy 96.0%
    training adv accuracy 84.0%
    59.91982079964739 examples per second
Step 44600:    (2022-05-09 09:40:30.600212)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.39508235202372 examples per second
Step 44700:    (2022-05-09 09:42:03.117027)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    54.06256000110387 examples per second
Step 44800:    (2022-05-09 09:43:26.630967)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    59.95667514393906 examples per second
Step 44900:    (2022-05-09 09:44:58.510251)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.43593548044872 examples per second
Step 45000:    (2022-05-09 09:46:31.166037)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    53.9817458985284 examples per second
Step 45100:    (2022-05-09 09:47:54.840003)
    training nat accuracy 96.0%
    training adv accuracy 86.0%
    59.90470628093944 examples per second
Step 45200:    (2022-05-09 09:49:26.958046)
    training nat accuracy 96.0%
    training adv accuracy 90.0%
    54.29646096180349 examples per second
Step 45300:    (2022-05-09 09:50:59.776272)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    53.88723316187473 examples per second
Step 45400:    (2022-05-09 09:52:22.571911)
    training nat accuracy 96.0%
    training adv accuracy 86.0%
    60.480227363164225 examples per second
Step 45500:    (2022-05-09 09:53:52.903656)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    55.370477575548996 examples per second
Step 45600:    (2022-05-09 09:55:25.088900)
    training nat accuracy 96.0%
    training adv accuracy 82.0%
    54.25712791859911 examples per second
Step 45700:    (2022-05-09 09:56:47.707045)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    60.610733885698934 examples per second
Step 45800:    (2022-05-09 09:58:19.286019)
    training nat accuracy 96.0%
    training adv accuracy 94.0%
    54.61634356160585 examples per second
Step 45900:    (2022-05-09 09:59:51.986192)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    53.96068662229028 examples per second
Step 46000:    (2022-05-09 10:01:15.405731)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    60.0334952459895 examples per second
Step 46100:    (2022-05-09 10:02:46.921034)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    54.65347025515227 examples per second
Step 46200:    (2022-05-09 10:04:19.331538)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.164762650760984 examples per second
Step 46300:    (2022-05-09 10:05:43.094090)
    training nat accuracy 100.0%
    training adv accuracy 82.0%
    59.76878976091474 examples per second
Step 46400:    (2022-05-09 10:07:14.879263)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    54.49544358619122 examples per second
Step 46500:    (2022-05-09 10:08:47.621225)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    53.931535509468006 examples per second
Step 46600:    (2022-05-09 10:10:09.945984)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    60.824709856019616 examples per second
Step 46700:    (2022-05-09 10:11:41.630572)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    54.5520177391347 examples per second
Step 46800:    (2022-05-09 10:13:14.153532)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    54.05955619801173 examples per second
Step 46900:    (2022-05-09 10:14:36.129105)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    61.08967293401152 examples per second
Step 47000:    (2022-05-09 10:16:07.179803)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    54.93464061283143 examples per second
Step 47100:    (2022-05-09 10:17:39.550510)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.14906661895431 examples per second
Step 47200:    (2022-05-09 10:19:02.544799)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    60.32098078744719 examples per second
Step 47300:    (2022-05-09 10:20:33.708796)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    54.90545555919038 examples per second
Step 47400:    (2022-05-09 10:22:03.340702)
    training nat accuracy 98.0%
    training adv accuracy 84.0%
    55.801960064175276 examples per second
Step 47500:    (2022-05-09 10:23:24.448689)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    61.73665083624196 examples per second
Step 47600:    (2022-05-09 10:24:54.000199)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    55.851153698163756 examples per second
Step 47700:    (2022-05-09 10:26:24.357858)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    55.35460283091776 examples per second
Step 47800:    (2022-05-09 10:27:49.130010)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    59.07064012988699 examples per second
Step 47900:    (2022-05-09 10:29:18.744722)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    55.81455242254637 examples per second
Step 48000:    (2022-05-09 10:30:48.896615)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    55.482255067037364 examples per second
Step 48100:    (2022-05-09 10:32:10.898776)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    61.06377340394336 examples per second
Step 48200:    (2022-05-09 10:33:39.492112)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    56.45751483108322 examples per second
Step 48300:    (2022-05-09 10:35:09.801258)
    training nat accuracy 96.0%
    training adv accuracy 84.0%
    55.3845873022504 examples per second
Step 48400:    (2022-05-09 10:36:32.387501)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    60.67024003746138 examples per second
Step 48500:    (2022-05-09 10:38:01.753847)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    55.96898468664739 examples per second
Step 48600:    (2022-05-09 10:39:32.118016)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    55.351235853138874 examples per second
Step 48700:    (2022-05-09 10:40:55.226692)
    training nat accuracy 100.0%
    training adv accuracy 84.0%
    60.24987425813432 examples per second
Step 48800:    (2022-05-09 10:42:24.191023)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    56.2217431320938 examples per second
Step 48900:    (2022-05-09 10:43:54.699085)
    training nat accuracy 96.0%
    training adv accuracy 86.0%
    55.26313708658685 examples per second
Step 49000:    (2022-05-09 10:45:17.664925)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    60.352524804938064 examples per second
Step 49100:    (2022-05-09 10:46:48.143563)
    training nat accuracy 96.0%
    training adv accuracy 94.0%
    55.28105508133973 examples per second
Step 49200:    (2022-05-09 10:48:20.528645)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.139911783758244 examples per second
Step 49300:    (2022-05-09 10:49:43.217215)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    60.554694404777926 examples per second
Step 49400:    (2022-05-09 10:51:14.858582)
    training nat accuracy 98.0%
    training adv accuracy 96.0%
    54.57915302770816 examples per second
Step 49500:    (2022-05-09 10:52:47.166868)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    54.22574982264979 examples per second
Step 49600:    (2022-05-09 10:54:08.372814)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    61.66879079493174 examples per second
Step 49700:    (2022-05-09 10:55:39.590647)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.83228858376915 examples per second
Step 49800:    (2022-05-09 10:57:11.592134)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.36611799474554 examples per second
Step 49900:    (2022-05-09 10:58:33.693371)
    training nat accuracy 100.0%
    training adv accuracy 84.0%
    60.99937165641016 examples per second
Step 50000:    (2022-05-09 11:00:04.845012)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.872471259852446 examples per second
Step 50100:    (2022-05-09 11:01:37.495029)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    53.98536859275911 examples per second
Step 50200:    (2022-05-09 11:03:01.202910)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    59.81481998805599 examples per second
Step 50300:    (2022-05-09 11:04:32.356804)
    training nat accuracy 96.0%
    training adv accuracy 90.0%
    54.870962356899156 examples per second
Step 50400:    (2022-05-09 11:06:04.451767)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    54.31079099645783 examples per second
Step 50500:    (2022-05-09 11:07:26.160040)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    61.28132912787483 examples per second
Step 50600:    (2022-05-09 11:08:57.578594)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    54.75417675991457 examples per second
Step 50700:    (2022-05-09 11:10:29.869368)
    training nat accuracy 96.0%
    training adv accuracy 90.0%
    54.195472698915225 examples per second
Step 50800:    (2022-05-09 11:11:52.572368)
    training nat accuracy 100.0%
    training adv accuracy 84.0%
    60.55092885907483 examples per second
Step 50900:    (2022-05-09 11:13:23.258192)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    55.15361482554425 examples per second
Step 51000:    (2022-05-09 11:14:55.798805)
    training nat accuracy 96.0%
    training adv accuracy 92.0%
    54.04904518541099 examples per second
Step 51100:    (2022-05-09 11:16:19.394032)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    59.88819565709032 examples per second
Step 51200:    (2022-05-09 11:17:50.213779)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    55.07330114906983 examples per second
Step 51300:    (2022-05-09 11:19:23.095885)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    53.85083546069523 examples per second
Step 51400:    (2022-05-09 11:20:44.703451)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    61.36304315584032 examples per second
Step 51500:    (2022-05-09 11:22:16.436539)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.52325276864306 examples per second
Step 51600:    (2022-05-09 11:23:48.772656)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.16887663880657 examples per second
Step 51700:    (2022-05-09 11:25:12.015331)
    training nat accuracy 100.0%
    training adv accuracy 98.0%
    60.210472153587624 examples per second
Step 51800:    (2022-05-09 11:26:43.169414)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.87633406904698 examples per second
Step 51900:    (2022-05-09 11:28:15.459463)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.19604857422062 examples per second
Step 52000:    (2022-05-09 11:29:38.731048)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    60.13565237409939 examples per second
Step 52100:    (2022-05-09 11:31:10.516598)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    54.49306167371448 examples per second
Step 52200:    (2022-05-09 11:32:42.964081)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    54.10391051239787 examples per second
Step 52300:    (2022-05-09 11:34:07.618633)
    training nat accuracy 96.0%
    training adv accuracy 94.0%
    59.154498329261784 examples per second
Step 52400:    (2022-05-09 11:35:39.295399)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    54.55814247438532 examples per second
Step 52500:    (2022-05-09 11:37:11.787653)
    training nat accuracy 90.0%
    training adv accuracy 84.0%
    54.07733663092013 examples per second
Step 52600:    (2022-05-09 11:38:33.223073)
    training nat accuracy 96.0%
    training adv accuracy 94.0%
    61.50121346706695 examples per second
Step 52700:    (2022-05-09 11:40:04.336417)
    training nat accuracy 98.0%
    training adv accuracy 84.0%
    54.89405116530907 examples per second
Step 52800:    (2022-05-09 11:41:36.759891)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    54.16153371755208 examples per second
Step 52900:    (2022-05-09 11:43:00.167454)
    training nat accuracy 100.0%
    training adv accuracy 98.0%
    60.03772641189497 examples per second
Step 53000:    (2022-05-09 11:44:31.569454)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    54.72269036640233 examples per second
Step 53100:    (2022-05-09 11:46:04.162264)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    54.018418430295995 examples per second
Step 53200:    (2022-05-09 11:47:27.883895)
    training nat accuracy 98.0%
    training adv accuracy 98.0%
    59.81378630540286 examples per second
Step 53300:    (2022-05-09 11:48:59.467205)
    training nat accuracy 96.0%
    training adv accuracy 80.0%
    54.6147865418619 examples per second
Step 53400:    (2022-05-09 11:50:32.202928)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    53.935357685598824 examples per second
Step 53500:    (2022-05-09 11:51:55.113992)
    training nat accuracy 96.0%
    training adv accuracy 92.0%
    60.382196648881816 examples per second
Step 53600:    (2022-05-09 11:53:26.385845)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.80159128681049 examples per second
Step 53700:    (2022-05-09 11:54:59.010640)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    53.99984826027679 examples per second
Step 53800:    (2022-05-09 11:56:20.425552)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    61.51569135110711 examples per second
Step 53900:    (2022-05-09 11:57:51.303789)
    training nat accuracy 94.0%
    training adv accuracy 82.0%
    55.076947502013276 examples per second
Step 54000:    (2022-05-09 11:59:23.726625)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.11814298752038 examples per second
Step 54100:    (2022-05-09 12:00:46.692866)
    training nat accuracy 96.0%
    training adv accuracy 92.0%
    60.36281778957068 examples per second
Step 54200:    (2022-05-09 12:02:17.366483)
    training nat accuracy 96.0%
    training adv accuracy 86.0%
    55.16084123455548 examples per second
Step 54300:    (2022-05-09 12:03:49.780044)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    54.123267517751195 examples per second
Step 54400:    (2022-05-09 12:05:12.434421)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    60.593225812881 examples per second
Step 54500:    (2022-05-09 12:06:42.463159)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    55.555588225738305 examples per second
Step 54600:    (2022-05-09 12:08:14.592440)
    training nat accuracy 94.0%
    training adv accuracy 90.0%
    54.29039768097688 examples per second
Step 54700:    (2022-05-09 12:09:36.389634)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    61.21174158904972 examples per second
Step 54800:    (2022-05-09 12:11:07.461150)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    54.92066765018729 examples per second
Step 54900:    (2022-05-09 12:12:39.689592)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    54.2320484833664 examples per second
Step 55000:    (2022-05-09 12:14:02.293217)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    60.665563449193485 examples per second
Step 55100:    (2022-05-09 12:15:33.127110)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    55.0646538301786 examples per second
Step 55200:    (2022-05-09 12:17:05.430801)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    54.18787665805173 examples per second
Step 55300:    (2022-05-09 12:18:28.081235)
    training nat accuracy 98.0%
    training adv accuracy 84.0%
    60.56920566165524 examples per second
Step 55400:    (2022-05-09 12:20:00.087423)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    54.36722958840318 examples per second
Step 55500:    (2022-05-09 12:21:32.688661)
    training nat accuracy 96.0%
    training adv accuracy 84.0%
    54.01291485360639 examples per second
Step 55600:    (2022-05-09 12:22:58.504169)
    training nat accuracy 98.0%
    training adv accuracy 84.0%
    58.35053688516743 examples per second
Step 55700:    (2022-05-09 12:24:29.912691)
    training nat accuracy 98.0%
    training adv accuracy 84.0%
    54.71807178120323 examples per second
Step 55800:    (2022-05-09 12:26:02.416757)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    54.07041582052701 examples per second
Step 55900:    (2022-05-09 12:27:25.816850)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    60.045640507566944 examples per second
Step 56000:    (2022-05-09 12:28:56.940665)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.888562521585705 examples per second
Step 56100:    (2022-05-09 12:30:29.652402)
    training nat accuracy 94.0%
    training adv accuracy 88.0%
    53.990960628064855 examples per second
Step 56200:    (2022-05-09 12:31:50.901383)
    training nat accuracy 98.0%
    training adv accuracy 78.0%
    61.63384587023542 examples per second
Step 56300:    (2022-05-09 12:33:21.092881)
    training nat accuracy 94.0%
    training adv accuracy 80.0%
    55.455374102922946 examples per second
Step 56400:    (2022-05-09 12:34:53.940183)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    53.87027641652494 examples per second
Step 56500:    (2022-05-09 12:36:16.515844)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    60.64386091842397 examples per second
Step 56600:    (2022-05-09 12:37:48.070607)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.63009273199738 examples per second
Step 56700:    (2022-05-09 12:39:20.612142)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    54.04880935383231 examples per second
Step 56800:    (2022-05-09 12:40:44.432062)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    59.743274065715184 examples per second
Step 56900:    (2022-05-09 12:42:15.714376)
    training nat accuracy 100.0%
    training adv accuracy 84.0%
    54.79982246078361 examples per second
Step 57000:    (2022-05-09 12:43:48.347871)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    53.99487234573055 examples per second
Step 57100:    (2022-05-09 12:45:12.731157)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    59.348646406354995 examples per second
Step 57200:    (2022-05-09 12:46:44.232069)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    54.70129877462525 examples per second
Step 57300:    (2022-05-09 12:48:16.886123)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    53.983107975567926 examples per second
Step 57400:    (2022-05-09 12:49:41.346657)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    59.291344686589774 examples per second
Step 57500:    (2022-05-09 12:51:12.631311)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.791494002531174 examples per second
Step 57600:    (2022-05-09 12:52:44.740442)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.30234842331576 examples per second
Step 57700:    (2022-05-09 12:54:06.335426)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    61.36911974989092 examples per second
Step 57800:    (2022-05-09 12:55:37.024243)
    training nat accuracy 100.0%
    training adv accuracy 78.0%
    55.15290232879008 examples per second
Step 57900:    (2022-05-09 12:57:08.969758)
    training nat accuracy 100.0%
    training adv accuracy 98.0%
    54.39868354683956 examples per second
Step 58000:    (2022-05-09 12:58:31.658282)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    60.54105449972815 examples per second
Step 58100:    (2022-05-09 13:00:01.587131)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    55.61896839953824 examples per second
Step 58200:    (2022-05-09 13:01:33.788852)
    training nat accuracy 96.0%
    training adv accuracy 94.0%
    54.247814760204854 examples per second
Step 58300:    (2022-05-09 13:02:57.717959)
    training nat accuracy 94.0%
    training adv accuracy 82.0%
    59.716742157777944 examples per second
Step 58400:    (2022-05-09 13:04:23.184410)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    58.52481036636514 examples per second
Step 58500:    (2022-05-09 13:05:54.279852)
    training nat accuracy 96.0%
    training adv accuracy 86.0%
    54.907077050518076 examples per second
Step 58600:    (2022-05-09 13:07:18.973643)
    training nat accuracy 98.0%
    training adv accuracy 96.0%
    59.13680053416178 examples per second
Step 58700:    (2022-05-09 13:08:50.052638)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    54.917381091023024 examples per second
Step 58800:    (2022-05-09 13:10:21.472225)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.71203985294107 examples per second
Step 58900:    (2022-05-09 13:11:45.410707)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    59.64866205855567 examples per second
Step 59000:    (2022-05-09 13:13:15.930732)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    55.25446091462939 examples per second
Step 59100:    (2022-05-09 13:14:47.163554)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.82964183650394 examples per second
Step 59200:    (2022-05-09 13:16:10.172394)
    training nat accuracy 98.0%
    training adv accuracy 96.0%
    60.31133576882343 examples per second
Step 59300:    (2022-05-09 13:17:40.570541)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    55.329317340905234 examples per second
Step 59400:    (2022-05-09 13:19:11.980373)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.757888504195236 examples per second
Step 59500:    (2022-05-09 13:20:35.448467)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    59.98609058789403 examples per second
Step 59600:    (2022-05-09 13:22:05.355010)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    55.63335648357884 examples per second
Step 59700:    (2022-05-09 13:23:36.349051)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.96781498611507 examples per second
Step 59800:    (2022-05-09 13:25:01.112390)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    59.05984351513174 examples per second
Step 59900:    (2022-05-09 13:26:30.926839)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    55.68994793769372 examples per second
Step 60000:    (2022-05-09 13:28:01.748359)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    55.07234039399153 examples per second
Step 60100:    (2022-05-09 13:29:23.816673)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    61.01093510826495 examples per second
Step 60200:    (2022-05-09 13:30:53.935287)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    55.502188921419766 examples per second
Step 60300:    (2022-05-09 13:32:25.121982)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    54.851927592232805 examples per second
